Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DY.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DP.BMP,resources/DR.BMP,resources/DG.BMP,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,-0.01,-0.42,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door4,-0.355,-0.04875,1,0,0,2.822,optionLeft,80,80,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,Door2,-0.31625,0.0025,1,0,0,2.063,optionLeft,20,100,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,Door1,-0.32125,-0.05875,1,0,0,0.912,optionLeft,30,130,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,WildCard_NonEx,0.325,-0.025,1,0,0,0.989,optionRight,55,185,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door2,0.355,-0.0175,1,0,0,1.046,optionRight,20,205,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,WildCard_NonEx,-0.23125,-0.00875,1,0,0,1.613,optionLeft,55,260,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,08-06-2023_08h26.56.200,HF_wild_card,2022.2.4,MacIntel,59.10165485,610e67c4f2e507632094b24f,64ce5acb97489d65b14ecc7a,64cf4b2fefcac874844c8fed,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door4,0.43625,-0.01,1,0,0,0.894,optionRight,60,320,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
