Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DBN.BMP,resources/DY.BMP,resources/DG.BMP,resources/DR.BMP,resources/DP.BMP,resources/DB.BMP,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,-0.003703704,-0.416666667,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,ctch,resources/DR.BMP,resources/DBN.BMP,Door1,0.401851852,-0.037962963,1,0,0,9.195,optionRight,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,ctch,resources/DG.BMP,resources/DY.BMP,Door2,0.398148148,-0.169444444,1,0,0,5.436,optionRight,20,50,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door3,-0.308333333,-0.109259259,1,0,0,2.714,optionLeft,70,120,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,Door2,-0.301851852,-0.060185185,1,0,0,4.296,optionLeft,20,140,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door3,-0.277777778,-0.057407407,1,0,0,2.812,optionLeft,70,210,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,WildCard_NonEx,0.339814815,-0.046296296,1,0,0,1.516,optionRight,55,265,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,Door1,0.473148148,-0.021296296,1,0,0,4.622,optionRight,30,295,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door3,-0.410185185,-0.064814815,1,0,0,2.054,optionLeft,70,365,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,WildCard_NonEx,0.373148148,-0.040740741,1,0,0,1.392,optionRight,45,410,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door3,-0.29537037,-0.031481481,1,0,0,1.238,optionLeft,70,480,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DBN.BMP,resources/DY.BMP,Door2,0.405555556,-0.052777778,1,0,0,3.427,optionRight,20,500,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door2,0.356481481,-0.012037037,1,0,0,1.313,optionRight,20,520,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h37.55.516,HF_wild_card,2022.2.4,Win32,10.00040002,5ea0141f476817000946fdc5,64d2fd46c836a06233681665,64dc7cb512bc9838b71f2151,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,WildCard_NonEx,0.350925926,-0.006481481,1,0,0,3.41,optionRight,45,565,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
