Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door1,0.342688331,-0.043574594,1,0,0,1.278,optionRight,30,810,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door2,-0.363367799,0.014032496,1,0,0,3.147,optionLeft,20,830,1,15,0,15,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,Door1,-0.246676514,0.039143279,1,0,0,2.347,optionLeft,30,860,1,16,0,16,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door2,-0.215657312,-0.053914328,1,0,0,2.044,optionLeft,40,900,1,17,0,17,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door2,-0.23633678,-0.025849335,1,0,0,2.498,optionLeft,40,940,1,18,0,18,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door3,-0.35745938,-0.105612999,1,0,0,2.447,optionLeft,70,1010,1,19,0,19,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,Door2,0.418020679,-0.046528804,1,0,0,1.894,optionRight,20,1030,1,20,0,20,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door3,-0.347119645,-0.074593796,1,0,0,2.281,optionLeft,70,1100,1,21,0,21,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door3,-0.29689808,-0.003692762,1,0,0,2.229,optionLeft,70,1170,1,22,0,22,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DG.BMP,resources/DP.BMP,Door3,0.392909897,-0.045051699,1,0,0,3.965,optionRight,70,1240,1,23,0,23,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DG.BMP,resources/DP.BMP,Door3,0.228951256,-0.011078287,1,0,0,2.701,optionRight,70,1310,1,24,0,24,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door3,-0.254062038,0.02732644,1,0,0,1.724,optionLeft,70,1380,1,25,0,25,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,WildCard_NonEx,-0.283604136,-0.018463811,1,0,0,2.512,optionLeft,45,1425,1,26,0,26,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door4,-0.245199409,-0.061299852,1,0,0,1.945,optionLeft,80,1505,1,27,0,27,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door3,-0.212703102,0.014032496,1,0,0,2.101,optionLeft,70,1575,1,28,0,28,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,WildCard_NonEx,0.329394387,-0.046528804,1,0,0,1.779,optionRight,55,1630,1,29,0,29,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door2,-0.295420975,-0.037666174,1,0,0,1.665,optionLeft,20,1650,1,30,0,30,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,WildCard_NonEx,0.395864106,-0.076070901,1,0,0,1.63,optionRight,45,1695,1,31,0,31,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DP.BMP,resources/DY.BMP,WildCard_NonEx,0.34859675,-0.045051699,1,0,0,1.735,optionRight,55,1750,1,32,0,32,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DBN.BMP,resources/DY.BMP,WildCard_NonEx,0.311669129,-0.018463811,1,0,0,1.696,optionRight,45,1795,1,33,0,33,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,Door3,0.231905465,0.014032496,1,0,0,1.865,optionRight,70,1865,1,34,0,34,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door4,-0.353028065,-0.02437223,1,0,0,1.783,optionLeft,80,1945,1,35,0,35,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door4,0.23633678,-0.073116691,1,0,0,1.618,optionRight,60,2005,1,36,0,36,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,Door2,0.326440177,0.000738552,1,0,0,1.828,optionRight,40,2045,1,37,0,37,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,WildCard_NonEx,-0.317577548,-0.019940916,1,0,0,1.497,optionLeft,45,2090,1,38,0,38,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door3,-0.292466765,-0.031757755,1,0,0,1.243,optionLeft,70,2160,1,39,0,39,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,WildCard_NonEx,-0.319054653,-0.036189069,1,0,0,1.483,optionLeft,45,2205,1,40,0,40,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,Door3,0.270310192,-0.056868538,1,0,0,1.646,optionRight,70,2275,1,41,0,41,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,Door1,0.29985229,0.121861152,1,0,0,3.597,optionRight,30,2305,1,42,0,42,0,1
,,,,,,,,2023-08-16_08h44.28,HF_wild_card,2022.2.4,MacIntel,58.89281508,57faccc03073510001230cfc,64d2fd46c836a06233681665,64dc7e44be06836382732687,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door1,0.218611521,0.039143279,1,0,0,1.982,optionRight,30,2335,1,43,0,43,0,1
