Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DY.BMP,resources/DB.BMP,resources/DP.BMP,resources/DR.BMP,resources/DBN.BMP,resources/DG.BMP,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,0.005555556,-0.425555556,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,WildCard_NonEx,0.417777778,-0.043333333,1,0,0,4.619,optionRight,45,45,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door2,0.394444444,-0.05,1,0,0,7.3297,optionRight,20,65,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door2,-0.299600533,-0.071238349,1,0,0,9.8887,optionLeft,40,105,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DY.BMP,resources/DR.BMP,Door1,-0.398135819,-0.027296937,1,0,0,5.1581,optionLeft,30,135,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DG.BMP,resources/DP.BMP,WildCard_NonEx,-0.41677763,-0.028628495,1,0,0,2.4443,optionLeft,55,190,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door4,0.402130493,-0.05126498,1,0,0,4.5193,optionRight,80,270,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door4,-0.396804261,-0.028628495,1,0,0,1.7843,optionLeft,80,350,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door3,0.363515313,-0.033954727,1,0,0,6.6053,optionRight,70,420,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.395472703,-0.052596538,1,0,0,3.9251,optionLeft,20,440,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,Door4,0.366178429,-0.029960053,1,0,0,1.6575,optionRight,60,500,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door4,-0.412782956,-0.027296937,1,0,0,4.1286,optionLeft,80,580,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door3,-0.408788282,-0.049933422,1,0,0,4.4747,optionLeft,70,650,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door1,0.395472703,-0.048601864,1,0,0,2.2097,optionRight,30,680,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,WildCard_NonEx,0.407456724,-0.043275632,1,0,0,2.0545,optionRight,45,725,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DP.BMP,resources/DG.BMP,Door3,-0.354194407,-0.035286285,1,0,0,1.7442,optionLeft,70,795,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,-0.370173103,-0.064580559,1,0,0,2.7046,optionLeft,30,825,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,Door4,-0.436750999,-0.032623169,1,0,0,1.871,optionLeft,80,905,1,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DR.BMP,resources/DY.BMP,Door4,-0.402130493,-0.024633822,1,0,0,1.7085,optionLeft,60,965,1,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door4,0.375499334,-0.052596538,1,0,0,2.0393,optionRight,60,1025,1,18,0,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,0.344873502,-0.031291611,1,0,0,2.5504,optionRight,20,1045,1,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,0.327563249,-0.036617843,1,0,0,1.7508,optionRight,30,1075,1,20,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DB.BMP,resources/DP.BMP,Door3,0.414114514,-0.073901465,1,0,0,1.8974,optionRight,70,1145,1,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DB.BMP,resources/DP.BMP,Door3,0.376830892,-0.080559254,1,0,0,1.7119,optionRight,70,1215,1,22,0,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door3,-0.411451398,-0.029960053,1,0,0,1.7187,optionLeft,70,1285,1,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,0.360852197,-0.069906791,1,0,0,2.4067,optionRight,30,1315,1,24,0,24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door3,-0.376830892,-0.0126498,1,0,0,1.5916,optionLeft,70,1385,1,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door2,0.344873502,-0.077896138,1,0,0,2.1849,optionRight,20,1405,1,26,0,26,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door3,-0.391478029,-0.021970706,1,0,0,1.7019,optionLeft,70,1475,1,27,0,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h41.43.833,HF_wild_card,2022.2.4,Win32,3.333400001,594e2bb7a402220001d84067,64d2fd46c836a06233681665,64dc7cefa440b7cd48ade3b9,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,0.403462051,-0.079227696,1,0,0,2.0676,optionRight,30,1505,1,28,0,28,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
