Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door3,0.3525,0.01,1,0,0,0.895,optionRight,70,710,1,13,0,13,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door3,0.33,-0.03625,1,0,0,1.479,optionRight,70,780,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,-0.425,-0.005,1,0,0,1.613,optionLeft,40,820,1,15,0,15,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door4,0.455,0.04625,1,0,0,1.594,optionRight,60,880,1,16,0,16,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,Door1,-0.41125,-0.0125,1,0,0,0.862,optionLeft,30,910,1,17,0,17,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,WildCard_NonEx,0.385,-0.02125,1,0,0,1.629,optionRight,55,965,1,18,0,18,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door3,0.44875,0.0175,1,0,0,1.844,optionRight,70,1035,1,19,0,19,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,WildCard_NonEx,-0.36875,-0.04,1,0,0,1.046,optionLeft,55,1090,1,20,0,20,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DR.BMP,resources/DG.BMP,Door3,0.39375,0.0075,1,0,0,1.037,optionRight,70,1160,1,21,0,21,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DG.BMP,resources/DB.BMP,Door3,-0.37,-0.0175,1,0,0,1.011,optionLeft,70,1230,1,22,0,22,0,1
