Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DG.BMP,resources/DR.BMP,resources/DP.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DY.BMP,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,0.010517173,-0.416363134,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door1,0.406917391,-0.057817337,1,0,0,5.4285,optionRight,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door3,0.355492637,-0.022819838,1,0,0,4.2799,optionRight,70,100,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door2,0.324066162,0.017891546,1,0,0,5.8126,optionRight,40,140,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door1,-0.360170667,-0.013534758,1,0,0,3.1757,optionLeft,30,170,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door3,-0.332315514,-0.07567318,1,0,0,1.8647,optionLeft,70,240,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,decisionTrl,resources/DR.BMP,resources/DG.BMP,Door1,0.429772932,0.005749461,1,0,0,3.3636,optionRight,30,270,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64275d22f204d1161ad23e64,2023-08-16_08h52.10.450,HF_wild_card,2022.2.4,Win32,59.89817311,64275d22f204d1161ad23e64,64d2fd46c836a06233681665,64dc7f5370a266150a1270de,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door1,0.238358011,-0.007821001,1,0,0,1.931,optionRight,30,300,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
