Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
1,resources/DP.BMP,resources/DB.BMP,resources/DG.BMP,resources/DBN.BMP,resources/DY.BMP,resources/DR.BMP,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,0.022222222,-0.424444444,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door3,-0.16,-0.211111111,1,0,0,0.89,optionLeft,70,70,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,ctch,resources/DB.BMP,resources/DG.BMP,Door3,0.061111111,-0.083333333,1,0,0,1.363,optionRight,70,140,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door3,-0.16,-0.002222222,1,0,0,1.162,optionLeft,70,210,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,WildCard_NonEx,-0.185555556,-0.056666667,1,0,0,0.631,optionLeft,45,255,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door2,0.023333333,-0.104444444,1,0,0,2.765,optionRight,40,295,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door1,-0.121111111,-0.031111111,1,0,0,0.831,optionLeft,30,325,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e865fdcef7ca60d3266f76a,2023-08-16_09h06.28.155,HF_wild_card,2022.2.4,MacIntel,62.5,5e865fdcef7ca60d3266f76a,64d2fd46c836a06233681665,64dc7ecad5690df31c4e572c,,,,,,,ctch,resources/DBN.BMP,resources/DP.BMP,Door1,0.245555556,-0.058888889,1,0,0,0.994,optionRight,30,355,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
