Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DB.BMP,resources/DG.BMP,resources/DR.BMP,resources/DP.BMP,resources/DBN.BMP,resources/DY.BMP,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,0.002604167,-0.424479167,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door3,-0.350260417,-0.102864583,1,0,0,2.7945,optionLeft,70,70,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door2,0.420572917,-0.010416667,1,0,0,2.4149,optionRight,40,110,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door4,-0.373697917,-0.071614583,1,0,0,2.1762,optionLeft,80,190,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,ctch,resources/DP.BMP,resources/DB.BMP,Door4,-0.341145833,-0.083333333,1,0,0,2.1616,optionLeft,80,270,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,WildCard_Ex,-0.329427083,0,1,0,0,1.8288,optionLeft,5,275,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door2,-0.328125,0.013020833,1,0,0,2.0797,optionLeft,40,315,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59ba6e9162b30d0001b7acab,2023-08-16_09h03.42.050,HF_wild_card,2022.2.4,Win32,60.0024001,59ba6e9162b30d0001b7acab,64d2fd46c836a06233681665,64dc7e031e71c1d50c779dc3,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door2,-0.044270833,-0.065104167,1,0,0,0.966,optionRight,20,335,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
