Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door2,0.303400638,-0.046227418,1,0,0,2.272,optionRight,40,680,1,13,0,13,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,WildCard_NonEx,-0.287460149,0.01434644,1,0,0,0.741,optionLeft,55,735,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door2,-0.287460149,-0.024973433,1,0,0,1.054,optionLeft,20,755,1,15,0,15,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door2,0.217321998,-0.015409139,1,0,0,0.949,optionRight,20,775,1,16,0,16,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DG.BMP,resources/DP.BMP,Door3,-0.320403826,0.005844846,1,0,0,0.87,optionLeft,70,845,1,17,0,17,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,Door1,-0.238575983,-0.007970244,1,0,0,0.802,optionLeft,30,875,1,18,0,18,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door4,0.221572795,0.003719447,1,0,0,2.21,optionRight,60,935,1,19,0,19,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door2,-0.243889479,0.01434644,1,0,0,0.673,optionLeft,40,975,1,20,0,20,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door3,0.280021254,0.002656748,1,0,0,1.012,optionRight,70,1045,1,21,0,21,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DY.BMP,resources/DBN.BMP,Door4,-0.22794899,-0.00053135,1,0,0,1.243,optionLeft,60,1105,1,22,0,22,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,WildCard_NonEx,0.244952179,-0.039851222,1,0,0,2.09,optionRight,55,1160,1,23,0,23,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door4,0.231137088,-0.011158342,1,0,0,0.922,optionRight,60,1220,1,24,0,24,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door1,-0.107863974,0.013283741,1,0,0,1.644,optionLeft,30,1250,1,25,0,25,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door2,-0.324654623,-0.041976621,1,0,0,1.392,optionLeft,40,1290,1,26,0,26,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door2,-0.305526036,-0.022848034,1,0,0,1.194,optionLeft,40,1330,1,27,0,27,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door4,-0.303400638,-0.009032944,1,0,0,0.886,optionLeft,80,1410,1,28,0,28,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,Door4,-0.273645058,-0.01434644,1,0,0,0.739,optionLeft,80,1490,1,29,0,29,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door2,0.382040383,0.005844846,1,0,0,39.315,optionRight,20,1510,1,30,0,30,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door3,-0.255579171,-0.062167906,1,0,0,1.17,optionLeft,70,1580,1,31,0,31,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,ctch,resources/DY.BMP,resources/DBN.BMP,Door4,-0.277895855,-0.001594049,1,0,0,1.912,optionLeft,80,1660,1,32,0,32,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,WildCard_NonEx,-0.216259299,-0.02816153,1,0,0,0.861,optionLeft,55,1715,1,33,0,33,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door2,0.291710946,0.048352816,1,0,0,0.679,optionRight,20,1735,1,34,0,34,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door1,-0.210945802,-0.033475027,1,0,0,0.662,optionLeft,30,1765,1,35,0,35,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door3,0.168437832,0.049415515,1,0,0,1.102,optionRight,70,1835,1,36,0,36,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door3,-0.290648247,-0.033475027,1,0,0,0.821,optionLeft,70,1905,1,37,0,37,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DR.BMP,resources/DY.BMP,WildCard_NonEx,-0.295961743,-0.009032944,1,0,0,0.872,optionLeft,45,1950,1,38,0,38,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,WildCard_NonEx,-0.243889479,-0.012221041,1,0,0,0.755,optionLeft,45,1995,1,39,0,39,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,WildCard_NonEx,0.152497343,0.002656748,1,0,0,0.779,optionRight,55,2050,1,40,0,40,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door4,0.22901169,0.046227418,1,0,0,1.347,optionRight,60,2110,1,41,0,41,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door3,0.246014878,-0.018597237,1,0,0,0.756,optionRight,70,2180,1,42,0,42,0,1
,,,,,,,,2023-08-16_08h55.13.650,HF_wild_card,2022.2.4,MacIntel,10.30927835,5c6ab741a70f0f0001607363,64d2fd46c836a06233681665,64dc7f2f210a0a3e632da8af,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door2,-0.018597237,-0.01434644,1,0,0,0.123,optionLeft,40,2220,1,43,0,43,0,1
