Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DBN.BMP,resources/DR.BMP,resources/DG.BMP,resources/DY.BMP,resources/DP.BMP,resources/DB.BMP,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,0.00178345,-0.425659339,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door4,-0.322688977,0.063031276,1,0,0,2.8285,optionLeft,60,60,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door3,-0.262097319,0.00606219,1,0,0,1.6574,optionLeft,70,130,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,ctch,resources/DG.BMP,resources/DR.BMP,Door2,0.389274279,-0.063050906,1,0,0,1.54,optionRight,20,150,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door3,-0.342378696,0.021166126,1,0,0,1.1966,optionLeft,70,220,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,ctch,resources/DBN.BMP,resources/DY.BMP,Door1,-0.296864152,-0.003044963,1,0,0,2.9427,optionLeft,30,250,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,ctch,resources/DY.BMP,resources/DBN.BMP,Door4,-0.36305956,-0.002769907,1,0,0,1.1761,optionLeft,60,310,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-06_08h28.53.818,HF_wild_card,2022.2.4,Linux x86_64,60.05645307,62d6e262beee43c4b17ef059,64ce5acb97489d65b14ecc7a,64cf4b4fe598e964d2eae650,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,WildCard_NonEx,0.436640422,0.051702181,1,0,0,1.2562,optionRight,45,355,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
