Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
0,resources/DR.BMP,resources/DP.BMP,resources/DG.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DY.BMP,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,0.001239591,-0.419254859,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door2,0.368669825,-0.051173719,1,0,0,1.0749,optionRight,40,40,1,0,0,0,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,ctch,resources/DBN.BMP,resources/DR.BMP,Door1,0.359324631,0.002183266,1,0,0,0.8028,optionRight,30,70,1,1,0,1,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,WildCard_Ex,-0.318382856,-0.024901455,1,0,0,0.6607,optionLeft,5,75,1,2,0,2,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door3,0.398465055,-0.022057617,1,0,0,0.7081,optionRight,70,145,1,3,0,3,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,ctch,resources/DG.BMP,resources/DP.BMP,Door2,0.394130966,-0.000931527,1,0,0,0.7224,optionRight,20,165,1,4,0,4,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door4,0.402663148,0.007735613,1,0,0,1.1961,optionRight,80,245,1,5,0,5,0,1,,,,,
,,,,,,,,2023-08-16_08h28.01.034,HF_wild_card,2022.2.4,Linux armv81,60.22645146,5bbbf217a83521000173d9df,64d2fd46c836a06233681665,64dc79b32f499cfdb18bcdf9,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door4,0.387900936,-0.004723336,1,0,0,0.7039,optionRight,60,305,1,6,0,6,0,1,,,,,
