Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
2,resources/DR.BMP,resources/DP.BMP,resources/DG.BMP,resources/DBN.BMP,resources/DY.BMP,resources/DB.BMP,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,0.002410173,-0.418106318,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door1,-0.128286839,-0.171046813,1,0,0,2.5678,optionLeft,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door4,0.385593096,-0.065696359,1,0,0,1.2082,optionRight,60,90,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,decisionTrl,resources/DB.BMP,resources/DP.BMP,WildCard_NonEx,-0.062397639,-0.016776522,1,0,0,1.43,optionLeft,55,145,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door3,0.260045211,-0.061595996,1,0,0,1.1077,optionRight,70,215,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door3,0.284398238,-0.082293948,1,0,0,2.0774,optionRight,70,285,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door3,-0.183812459,-0.024791042,1,0,0,0.8117,optionLeft,70,355,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h44.47.727,HF_wild_card,2022.2.4,Linux x86_64,60.06006006,6146fae1e27a56034fdcb5c5,64d2fd46c836a06233681665,64dc7e5754e17fa3494411ea,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door1,-0.211255153,-0.106960098,1,0,0,1.0632,optionLeft,30,385,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
