Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64cf4be62e975eb9284fa418,63ee215c40e6f16b0d6ad3f2,APPROVED,2023-08-06T07:29:42.582000Z,2023-08-06T07:50:41.015000Z,2023-08-06T18:37:14.877000,2023-08-06T07:50:41.543493Z,1259,C2BFG2BR,354,"Czech, English, German, Russian, Slovak",42,Female,White,Slovakia,United Kingdom,Slovakia,Slovak,No,Full-Time
64cf4be7f6db2acc19de6241,60a96f55b7ab20ce0ac1b365,APPROVED,2023-08-06T07:29:45.979000Z,2023-08-06T07:47:15.584000Z,2023-08-06T18:37:14.999000,2023-08-06T07:47:16.029213Z,1050,C2BFG2BR,796,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64cf4becd461555f56cbd567,5bbc3d95f1f9ba000141d855,APPROVED,2023-08-06T07:32:26.119000Z,2023-08-06T07:52:15.007000Z,2023-08-06T18:37:15.122000,2023-08-06T07:52:15.433378Z,1189,C2BFG2BR,2330,English,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64cf4bf2f2a56b8fcaf25157,57ea425e5b88f5000106bb9f,APPROVED,2023-08-06T07:30:17.419000Z,2023-08-06T07:47:59.908000Z,2023-08-06T18:37:15.253000,2023-08-06T07:48:00.337102Z,1063,C2BFG2BR,2287,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64cf4f7840d19caf54abe74e,6160c8f657e3c4094b01614a,APPROVED,2023-08-06T07:44:58.316000Z,2023-08-06T08:03:00.226000Z,2023-08-06T18:37:15.378000,2023-08-06T08:03:00.703149Z,1082,C2BFG2BR,1167,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64d10316dec083e7203739f7,5e8f3e2a20456a20cf1ff85e,APPROVED,2023-08-07T14:43:38.514000Z,2023-08-07T15:00:02.256000Z,2023-08-08T15:40:49.460000,2023-08-07T15:00:03.212556Z,984,C2BFG2BR,92,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
64d115e8d32e3a56eb5d7664,6393f158851fb438d2ceb5d7,APPROVED,2023-08-07T16:04:00.349000Z,2023-08-07T16:29:14.439000Z,2023-08-08T15:39:28.501000,2023-08-07T16:29:16.187984Z,1515,C2BFG2BR,128,English,55,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64d15b28178166112dede1e4,5f8acdc02235a9185fca316a,REJECTED,2023-08-07T20:59:25.542000Z,2023-08-07T21:00:05.794000Z,2023-08-13T01:05:37.815000Z,2023-08-07T21:00:06.643000Z,41,5f8acdc02235a9185fca316a,70,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64d521566638542f09679c06,5d0e9a2edd7f8e001acc6b5a,APPROVED,2023-08-10T17:42:57.697000Z,2023-08-10T18:05:00.963000Z,2023-08-11T03:15:20.876000,2023-08-10T18:06:11.108771Z,1324,C2BFG2BR,201,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64d82d0b63542afdd37bb4bf,602160dd499ff3105e0635ef,APPROVED,2023-08-13T01:08:44.657000Z,2023-08-13T01:38:57.799000Z,2023-08-13T01:58:44.933000,2023-08-13T01:38:58.426944Z,1814,C2BFG2BR,83,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dba09e2bb7cee6daf3c706,62d132acb69af7bf169cdbb8,AWAITING REVIEW,2023-08-15T15:58:49.806000Z,2023-08-15T16:15:58.962000Z,,2023-08-15T16:15:59.788906Z,1030,C2BFG2BR,370,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
