Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door4,-0.209259245,-0.121296282,1,0,0,0.5867,optionLeft,80,540,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door1,-0.25,-0.114814829,1,0,0,0.9017,optionLeft,30,570,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door3,0.32685188,0.023148148,1,0,0,0.656,optionRight,70,640,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,WildCard_NonEx,0.332407492,0.037962949,1,0,0,0.8103,optionRight,55,695,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,0.262037065,0.052777785,1,0,0,1.5779,optionRight,40,735,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,Door1,-0.23055557,-0.089814822,1,0,0,0.6252,optionLeft,30,765,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door3,-0.224999958,-0.045370384,1,0,0,0.8351,optionLeft,70,835,1,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,ctch,resources/DR.BMP,resources/DG.BMP,Door4,0.23055557,0.062037044,1,0,0,0.839,optionRight,80,915,1,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,0.203703704,0.061111097,1,0,0,0.978,optionRight,40,955,1,16,0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h46.51.589,HF_wild_card,2022.2.4,Linux x86_64,60.0528465,60fefcd96595341f18a3a247,64d2fd46c836a06233681665,64dc7ee0daf0b543d8b5d475,,,,,,,decisionTrl,resources/DB.BMP,resources/DG.BMP,Door4,0.280555584,0.091666645,1,0,0,1.1178,optionRight,80,1035,1,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
