Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DR.BMP,resources/DY.BMP,WildCard_Ex,-0.309523814,-0.023462833,1,0,0,1.025,optionLeft,5,640,1,13,0,13,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DB.BMP,resources/DR.BMP,Door3,-0.300277395,0.016296757,1,0,0,1.0556,optionLeft,70,710,1,14,0,14,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,Door4,0.329403627,-0.003120719,1,0,0,1.0188,optionRight,60,770,1,15,0,15,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door2,-0.32431808,0.002427184,1,0,0,1.4965,optionLeft,40,810,1,16,0,16,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door3,0.32293116,-0.039181682,1,0,0,0.6441,optionRight,70,880,1,17,0,17,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DY.BMP,resources/DR.BMP,Door1,-0.2984281,-0.053051328,1,0,0,1.2866,optionLeft,30,910,1,18,0,18,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door4,0.317383257,-0.0299353,1,0,0,1.3551,optionRight,60,970,1,19,0,19,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,Door3,-0.296578824,-0.025312109,1,0,0,1.2248,optionLeft,70,1040,1,20,0,20,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DG.BMP,resources/DR.BMP,Door2,-0.290106338,-0.067845613,1,0,0,1.5385,optionLeft,20,1060,1,21,0,21,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door3,0.358067485,-0.067845613,1,0,0,0.8213,optionRight,70,1130,1,22,0,22,0,1,,,,,
