Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DR.BMP,resources/DBN.BMP,resources/DG.BMP,resources/DP.BMP,resources/DB.BMP,resources/DY.BMP,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,0.008333333,-0.421296296,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door1,0.293518519,-0.090740741,1,0,0,6.423,optionRight,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,ctch,resources/DP.BMP,resources/DR.BMP,Door1,0.35462963,-0.011111111,1,0,0,2.4911,optionRight,30,60,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door1,-0.383333333,-0.008333333,1,0,0,3.6873,optionLeft,30,90,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,Door2,0.250925926,-0.02962963,1,0,0,2.8418,optionRight,20,110,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door1,-0.362962963,-0.013888889,1,0,0,1.9923,optionLeft,30,140,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,ctch,resources/DP.BMP,resources/DR.BMP,Door1,0.416666667,-0.062962963,1,0,0,2.2448,optionRight,30,170,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f624774af6210bf4503e9,2023-08-16_08h48.20.932,HF_wild_card,2022.2.4,Win32,60.3682463,5f0f624774af6210bf4503e9,64d2fd46c836a06233681665,64dc7f1e3339f3b6f1864735,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,WildCard_Ex,0.364814815,-0.002777778,1,0,0,2.4783,optionRight,95,265,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
