Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name
0,resources/DY.BMP,resources/DBN.BMP,resources/DG.BMP,resources/DR.BMP,resources/DB.BMP,resources/DP.BMP,,2023-08-06_08h30.32.643,HF_wild_card,2022.2.4,MacIntel,59.99880002,57ea425e5b88f5000106bb9f,64ce5acb97489d65b14ecc7a,64cf4bf2f2a56b8fcaf25157,,,,,,
,,,,,,,,2023-08-06_08h30.32.643,HF_wild_card,2022.2.4,MacIntel,59.99880002,57ea425e5b88f5000106bb9f,64ce5acb97489d65b14ecc7a,64cf4bf2f2a56b8fcaf25157,0.001912299,-0.428573744,1,0,0,agree
