Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door1,0.252777778,0,1,0,0,0.615,optionRight,30,640,1,12,0,12,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,ctch,resources/DB.BMP,resources/DY.BMP,Door4,-0.299074074,-0.010185185,1,0,0,0.667,optionLeft,60,700,1,13,0,13,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door4,-0.117592593,-0.003703704,1,0,0,0.553,optionLeft,80,780,1,14,0,14,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.221296296,-0.001851852,1,0,0,0.419,optionLeft,45,825,1,15,0,15,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,ctch,resources/DP.BMP,resources/DR.BMP,Door2,-0.198148148,0.001851852,1,0,0,0.695,optionLeft,40,865,1,16,0,16,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door3,-0.284259259,0,1,0,0,0.449,optionLeft,70,935,1,17,0,17,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,WildCard_NonEx,0.298148148,-0.007407407,1,0,0,1.05,optionRight,45,980,1,18,0,18,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door1,-0.171296296,-0.006481481,1,0,0,1.103,optionLeft,30,1010,1,19,0,19,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,ctch,resources/DB.BMP,resources/DY.BMP,Door4,-0.224074074,-0.007407407,1,0,0,0.75,optionLeft,80,1090,1,20,0,20,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.25,-0.012037037,1,0,0,0.752,optionRight,55,1145,1,21,0,21,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,0.305555556,-0.018518519,1,0,0,1.153,optionRight,60,1205,1,22,0,22,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door2,0.212037037,-0.016666667,1,0,0,0.533,optionRight,20,1225,1,23,0,23,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/Empty.png,resources/DR.BMP,Door3,0.353703704,-0.013888889,1,0,0,0.432,optionRight,70,1295,1,24,0,24,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door1,-0.165740741,-0.015740741,1,0,0,1.133,optionLeft,30,1325,1,25,0,25,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,ctch,resources/DY.BMP,resources/DB.BMP,Door4,0.216666667,-0.017592593,1,0,0,0.887,optionRight,80,1405,1,26,0,26,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door3,0.217592593,-0.012037037,1,0,0,1.165,optionRight,70,1475,1,27,0,27,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_NonEx,-0.209259259,-0.012962963,1,0,0,0.435,optionLeft,55,1530,1,28,0,28,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,Door1,-0.167592593,-0.016666667,1,0,0,0.548,optionLeft,30,1560,1,29,0,29,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,Door4,0.392592593,-0.008333333,1,0,0,1.082,optionRight,80,1640,1,30,0,30,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door2,-0.185185185,0.002777778,1,0,0,0.748,optionLeft,40,1680,1,31,0,31,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door1,-0.299074074,0.014814815,1,0,0,1.063,optionLeft,30,1710,1,32,0,32,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.228703704,0.033333333,1,0,0,0.465,optionRight,45,1755,1,33,0,33,0,1,,,,,,
,,,,,,,,2023-08-16_08h42.49.667,HF_wild_card,2022.2.4,Win32,58.82352941,5a5b6255f6c5170001950ae0,64d2fd46c836a06233681665,64dc7df2fcf2642c89e295cd,,,,,,,ctch,resources/DP.BMP,resources/DR.BMP,Door3,0.275,-0.012962963,1,0,0,0.999,optionRight,70,1825,1,34,0,34,0,1,,,,,,
