Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DP.BMP,resources/DBN.BMP,resources/DB.BMP,resources/DR.BMP,resources/DG.BMP,resources/DY.BMP,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,0.021296325,-0.419444473,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DP.BMP,resources/DG.BMP,Door1,-0.273148148,-0.031481496,1,0,0,8.3437,optionLeft,30,30,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door2,0.222222222,-0.017592607,1,0,0,3.0258,optionRight,40,70,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,Door4,0.296296296,-0.082407422,1,0,0,1.8935,optionLeft,80,150,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door2,0.256481524,0.041666667,1,0,0,1.8448,optionRight,40,190,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door3,0.179629644,-0.024074095,1,0,0,1.4078,optionRight,70,260,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,-0.239814829,-0.065740762,1,0,0,3.8451,optionLeft,60,320,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,WildCard_Ex,0.238888917,0.029629637,1,0,0,1.226,optionRight,5,325,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,ctch,resources/DB.BMP,resources/DBN.BMP,Door2,0.236111111,-0.01666666,1,0,0,1.9461,optionRight,40,365,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,Door2,-0.162037037,0.01203703,1,0,0,1.0097,optionLeft,40,405,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,WildCard_Ex,0.228703746,-0.025000007,1,0,0,0.9125,optionRight,95,500,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door2,-0.183333291,-0.003703718,1,0,0,1.9451,optionLeft,40,540,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DR.BMP,resources/DB.BMP,Door4,-0.152777778,-0.01666666,1,0,0,1.3279,optionLeft,60,600,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,decisionTrl,resources/DBN.BMP,resources/DG.BMP,WildCard_Ex,0.262962977,-0.002777771,1,0,0,1.6627,optionRight,95,695,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h38.54.292,HF_wild_card,2022.2.4,Win32,60.1612321,5f3eb7a8f14d1312518c5776,64d2fd46c836a06233681665,64dc7d00b34157f68973269f,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,WildCard_Ex,-0.213888875,0.00462963,1,0,0,0.9115,optionLeft,95,790,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
