Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DR.BMP,resources/DP.BMP,resources/DG.BMP,resources/DY.BMP,resources/DBN.BMP,resources/DB.BMP,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,0.011796842,-0.421872787,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door4,-0.296847709,-0.125493629,1,0,0,1.8339,optionLeft,80,80,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,ctch,resources/DY.BMP,resources/DR.BMP,Door4,-0.486397965,-0.009270337,1,0,0,2.1127,optionLeft,60,140,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,WildCard_Ex,0.368426735,-0.01182593,1,0,0,1.6263,optionRight,5,145,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,ctch,resources/DP.BMP,resources/DG.BMP,Door2,-0.271730452,-0.014398488,1,0,0,0.9164,optionLeft,20,165,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,ctch,resources/DR.BMP,resources/DY.BMP,Door4,0.416270553,0.019608789,1,0,0,0.9928,optionRight,60,225,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door1,0.144782213,-0.020516986,1,0,0,2.2845,optionRight,30,255,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door2,-0.234545198,-0.00470381,1,0,0,1.4437,optionLeft,20,275,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_Ex,0.199336118,0.01492139,1,0,0,2.1331,optionRight,5,280,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door2,0.245791986,-0.000531107,1,0,0,2.8818,optionRight,20,300,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,sngl,resources/DBN.BMP,resources/Empty.png,WildCard_Ex,-0.22712288,-0.017033465,1,0,0,1.0459,optionLeft,5,305,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,sngl,resources/DY.BMP,resources/Empty.png,Door4,-0.27515552,-0.049665975,1,0,0,1.3309,optionLeft,80,385,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door1,-0.291694341,-0.01781134,1,0,0,1.5218,optionLeft,30,415,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,ctch,resources/DY.BMP,resources/DR.BMP,Door4,-0.318039171,-0.030959668,1,0,0,1.1955,optionLeft,80,495,1,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f4cbdf9f599118d27c21442,2023-08-16_08h48.54.598,HF_wild_card,2022.2.4,Linux x86_64,59.98440405,5f4cbdf9f599118d27c21442,64d2fd46c836a06233681665,64dc7f14707d0bc38769627e,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door4,-0.170659368,-0.007812777,1,0,0,0.9284,optionLeft,60,555,1,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
