Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,-0.40875,0.00375,1,0,0,1.246,optionLeft,30,765,1,14,0,14,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DP.BMP,Door3,0.32375,-0.0125,1,0,0,0.986,optionRight,70,835,1,15,0,15,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door3,-0.3375,-0.05,1,0,0,1.251,optionLeft,70,905,1,16,0,16,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DY.BMP,resources/DP.BMP,Door3,0.385,-0.0325,1,0,0,1.713,optionRight,70,975,1,17,0,17,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,-0.3775,0.03875,1,0,0,1.514,optionLeft,40,1015,1,18,0,18,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door3,-0.32875,-0.0275,1,0,0,0.998,optionLeft,70,1085,1,19,0,19,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DR.BMP,resources/DB.BMP,Door4,-0.3575,-0.03,1,0,0,1.562,optionLeft,60,1145,1,20,0,20,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DY.BMP,WildCard_NonEx,-0.33625,-0.0125,1,0,0,1.294,optionLeft,45,1190,1,21,0,21,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door3,-0.4075,-0.0375,1,0,0,1.816,optionLeft,70,1260,1,22,0,22,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door3,0.4075,-0.0075,1,0,0,0.945,optionRight,70,1330,1,23,0,23,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door3,0.30625,0.00875,1,0,0,0.847,optionRight,70,1400,1,24,0,24,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,0.40625,-0.0675,1,0,0,1.863,optionRight,40,1440,1,25,0,25,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,WildCard_NonEx,-0.3425,0.0425,1,0,0,1.93,optionLeft,55,1495,1,26,0,26,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door1,0.37125,-0.00125,1,0,0,1.249,optionRight,30,1525,1,27,0,27,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DR.BMP,resources/DB.BMP,Door4,-0.41,0.00875,1,0,0,2.813,optionLeft,80,1605,1,28,0,28,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,WildCard_NonEx,0.47,-0.00375,1,0,0,1.077,optionRight,45,1650,1,29,0,29,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,-0.40625,-0.02125,1,0,0,1.408,optionLeft,20,1670,1,30,0,30,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door2,0.3,-0.015,1,0,0,0.944,optionRight,20,1690,1,31,0,31,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door1,-0.2875,0.03125,1,0,0,2.381,optionLeft,30,1720,1,32,0,32,0,1
