Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Money conversion,First Outcome Reported,Shown Door (First Outcome),Displayed Image (First Outcome),outcomes.thisRepN,outcomes.thisTrialN,outcomes.thisN,outcomes.thisIndex,outcomes.ran,judgments.thisRepN,judgments.thisTrialN,judgments.thisN,judgments.thisIndex,judgments.ran,freqMouse.x,freqMouse.y,freqMouse.leftButton,freqMouse.midButton,freqMouse.rightButton,freqMouse.clicked_name,FQJ for first outcome,FQJ for second outcome,Shown Door,Displayed Image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,judgBlock.thisRepN,judgBlock.thisTrialN,judgBlock.thisN,judgBlock.thisIndex,judgBlock.ran
0,resources/DY.BMP,resources/DB.BMP,resources/DBN.BMP,resources/DP.BMP,resources/DG.BMP,resources/DR.BMP,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,-0.017985612,-0.411270983,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door3,-0.242206235,-0.121103118,1,0,0,3.956,optionLeft,70,70,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,Door4,0.354916067,-0.106714628,1,0,0,2.012,optionLeft,80,150,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,-0.25059952,-0.085131894,1,0,0,2.362,optionLeft,30,180,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,ctch,resources/DP.BMP,resources/DY.BMP,Door4,-0.217026379,-0.107913669,1,0,0,1.413,optionLeft,80,260,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,ctch,resources/DBN.BMP,resources/DB.BMP,Door2,0.46882494,0.019184652,1,0,0,2.495,optionRight,40,300,1,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DBN.BMP,resources/DP.BMP,Door3,-0.272182254,-0.059952038,1,0,0,1.32,optionLeft,70,370,1,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,ctch,resources/DY.BMP,resources/DP.BMP,Door4,0.368105516,0.003597122,1,0,0,0.83,optionRight,60,430,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,WildCard_Ex,0.402877698,-0.011990408,1,0,0,0.789,optionRight,95,525,1,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,0.37529976,-0.041966427,1,0,0,2.948,optionRight,40,565,1,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DG.BMP,resources/DP.BMP,WildCard_Ex,-0.310551559,-0.063549161,1,0,0,1.825,optionLeft,95,660,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DP.BMP,resources/DBN.BMP,Door4,-0.262589928,-0.023980815,1,0,0,1.764,optionLeft,60,720,1,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_08h31.56.122,HF_wild_card,2022.2.4,MacIntel,55.55555556,5f50d2ed14987325962c64dc,64d2fd46c836a06233681665,64dc7b57c943422f0853d2c3,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,Door2,-0.387290168,-0.010791367,1,0,0,2.332,optionLeft,40,760,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
