Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64dc7b4894becfe9b1f75cb8,642b1c83e9a71c3d81d75b19,APPROVED,2023-08-16T07:31:23.782000Z,2023-08-16T08:18:24.889000Z,2023-08-16T15:07:16.018000,2023-08-16T08:18:25.337474Z,2822,C2BFG2BR,142,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7b502356a55c9dfbb6dd,638a8c63c74f91261108cebf,APPROVED,2023-08-16T07:31:28.458000Z,2023-08-16T07:56:56.584000Z,2023-08-16T15:07:16.153000,2023-08-16T07:56:57.038413Z,1529,C2BFG2BR,392,"English, Portuguese",26,Female,White,Portugal,United Kingdom,Portugal,Portuguese,Yes,Part-Time
64dc7b5313ffd7a1de696252,62b2080f8f89f2f15c47d9ba,APPROVED,2023-08-16T07:31:40.111000Z,2023-08-16T07:47:41.226000Z,2023-08-16T15:07:16.310000,2023-08-16T07:47:41.697079Z,962,C2BFG2BR,611,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7b57c943422f0853d2c3,5f50d2ed14987325962c64dc,APPROVED,2023-08-16T07:31:38.853000Z,2023-08-16T07:49:14.474000Z,2023-08-16T15:07:16.457000,2023-08-16T07:49:14.964558Z,1056,C2BFG2BR,316,"Chinese, English",21,Female,Asian,China,United Kingdom,China,Chinese,Yes,Part-Time
64dc7b5bc0748f546373268d,61fa9016d42cb19beec49061,APPROVED,2023-08-16T07:31:46.206000Z,2023-08-16T07:56:41.893000Z,2023-08-16T15:07:16.617000,2023-08-16T07:56:42.897727Z,1496,C2BFG2BR,871,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64dc7b5ca7456ad563feb196,5eb162b0dc71ec243a783edc,APPROVED,2023-08-16T07:31:44.945000Z,2023-08-16T07:52:34.148000Z,2023-08-16T15:07:16.782000,2023-08-16T07:52:36.773958Z,1250,C2BFG2BR,1131,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7b752f00dfc201b5d4e2,55d4e57958c35800113dc3f6,APPROVED,2023-08-16T07:34:16.833000Z,2023-08-16T07:56:56.737000Z,2023-08-16T15:07:16.933000,2023-08-16T07:56:57.226631Z,1360,C2BFG2BR,51,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7b87760b5ca29153d2fa,60607526ff89564c7dee871e,APPROVED,2023-08-16T07:32:53.493000Z,2023-08-16T07:54:20.560000Z,2023-08-16T15:07:17.129000,2023-08-16T07:54:21.071421Z,1288,C2BFG2BR,339,"French, English",48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64dc7b93c0c09417f2c49369,607c25220ce5e062f6eff874,APPROVED,2023-08-16T07:32:35.977000Z,2023-08-16T07:56:35.627000Z,2023-08-16T15:07:17.282000,2023-08-16T07:56:37.225560Z,1440,C2BFG2BR,668,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7b94c5c3522490696264,568f981a7d961b000c969d2f,APPROVED,2023-08-16T07:36:42.941000Z,2023-08-16T08:04:52.409000Z,2023-08-16T15:07:17.420000,2023-08-16T08:04:53.123342Z,1690,C2BFG2BR,613,English,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
